"","dt","temp","co2","n2o","ch4","sf6"
"78",2003-12-01,-4.58925,380.31,318.23,1871.78,5.5
"79",2004-01-01,-4.83883333333333,381.95,318.43,1881.59,5.53
"80",2004-02-01,-5.06620833333333,382.36,318.44,1880.28,5.55
"81",2004-03-01,-5.11283333333333,382.52,318.43,1870.82,5.56
"82",2004-04-01,-5.05683333333333,383.08,318.59,1864.84,5.58
"83",2004-05-01,-5.15066666666667,383.7,318.71,1854.59,5.6
"84",2004-06-01,-5.33733333333333,381.61,318.5,1839.8,5.61
"85",2004-07-01,-5.67891666666667,375.22,318.18,1828.21,5.61
"86",2004-08-01,-6.17979166666667,368.7,318.1,1830.23,5.63
"87",2004-09-01,-6.36625,368.73,318.02,1848.11,5.63
"88",2004-10-01,-6.511625,373.42,317.82,1857.47,5.65
"89",2005-04-01,-9.42370833333333,385.67,319.3,1869.53,5.8
"90",2005-05-01,-11.8245833333333,385.58,319.13,1855.12,5.83
"91",2005-06-01,-13.7312916666667,383.41,319.07,1836.98,5.84
"92",2005-07-01,-14.3586666666667,377.31,318.98,1824.32,5.84
"93",2005-08-01,-13.7300833333333,371.35,318.85,1831.18,5.84
"94",2005-09-01,-12.1269583333333,371.7,318.94,1848.85,5.85
"95",2005-10-01,-9.76754166666667,376.31,319.33,1857.27,5.87
"96",2005-11-01,-7.18525,381.83,319.75,1864.98,5.9
"97",2005-12-01,-5.217875,384.61,319.98,1872.4,5.95
"98",2006-01-01,-4.4955,384.97,319.9,1869.05,5.99
"99",2006-02-01,-5.12333333333333,385.76,319.89,1864.33,6.01
"100",2006-03-01,-5.87091666666667,386.9,320.08,1865.21,6.02
"101",2006-04-01,-6.33108333333333,387.6,320.25,1864.49,6.04
"102",2006-05-01,-6.59275,388.44,320.32,1857.28,6.06
"103",2006-06-01,-6.70733333333333,386.92,320.23,1844.41,6.08
"104",2006-07-01,-6.81695833333333,379.7,319.92,1829.68,6.09
"105",2006-08-01,-6.64983333333333,373.75,319.68,1831.03,6.09
"106",2006-09-01,-6.41866666666666,374.67,319.66,1845.34,6.1
"107",2006-10-01,-6.13995833333333,379.25,319.79,1850.67,6.11
"108",2006-11-01,-5.940875,383.87,319.99,1856.31,6.15
"109",2006-12-01,-6.62329166666667,387.06,320.17,1870.05,6.21
"110",2007-01-01,-7.853875,388.75,320.4,1880.5,6.24
"111",2007-02-01,-8.99720833333333,389.12,320.67,1881.17,6.25
"112",2007-03-01,-10.1542083333333,389.61,320.81,1878.79,6.27
"113",2007-04-01,-10.62025,389.8,320.78,1870.74,6.3
"114",2007-05-01,-10.3776666666667,389.44,320.7,1858.17,6.32
"115",2007-06-01,-10.2674583333333,387.6,320.54,1845.76,6.32
"116",2007-07-01,-10.654625,380.38,320.4,1839.15,6.34
"117",2007-08-01,-11.5244166666667,373.23,320.46,1855.47,6.37
"118",2007-09-01,-12.4599166666667,374.51,320.71,1876.69,6.4
"119",2007-10-01,-13.248625,380.33,320.94,1879.02,6.43
"120",2007-11-01,-13.70325,385.09,321.29,1874.9,6.46
"121",2007-12-01,-13.0289166666667,388.84,321.67,1886.07,6.51
"122",2008-01-01,-11.4715416666667,390.32,321.87,1890.26,6.54
"123",2008-02-01,-9.550875,391.08,321.93,1894.1,6.56
"124",2008-03-01,-7.58766666666667,392.29,321.92,1893.59,6.58
"125",2008-04-01,-6.394375,392.68,321.83,1878.98,6.59
"126",2008-05-01,-6.12120833333333,392.41,321.84,1866.3,6.6
"127",2008-06-01,-6.06970833333333,389.21,321.91,1851.45,6.63
"128",2008-07-01,-5.9175,382.36,321.63,1839.85,6.68
"129",2008-08-01,-5.82391666666667,377.19,321.33,1844.11,6.69
"130",2008-09-01,-5.86829166666667,377.38,321.44,1861.84,6.7
"131",2008-10-01,-5.95966666666667,382.19,321.75,1874.03,6.74
"132",2008-11-01,-5.97258333333333,387.06,321.97,1882.36,6.79
"133",2008-12-01,-5.99620833333333,390.72,322.23,1892.93,6.83
"134",2009-01-01,-5.940875,392.52,322.54,1900.01,6.86
"135",2009-02-01,-5.91466666666667,392.24,322.54,1893.08,6.88
"136",2009-03-01,-5.923625,392.4,322.4,1889.83,6.88
"137",2009-04-01,-5.76891666666667,393.73,322.42,1890.24,6.89
"138",2009-05-01,-5.60454166666667,393.85,322.44,1878.37,6.9
"139",2009-06-01,-5.56433333333333,391.27,322.35,1858.8,6.92
"140",2009-07-01,-5.53741666666667,384.28,322.35,1844.57,6.95
"141",2009-08-01,-5.38258333333333,377.73,322.51,1850.83,6.98
"142",2009-09-01,-5.22216666666667,378.26,322.64,1873.78,6.99
"143",2009-10-01,-5.198,382.78,322.77,1882.39,7.02
"144",2009-11-01,-5.21,387.56,322.95,1877.26,7.06
"145",2009-12-01,-5.15466666666667,391.37,323.16,1889.36,7.11
"146",2010-01-01,-5.10604166666667,393.14,323.32,1898.47,7.14
"147",2010-02-01,-5.141625,393.54,323.44,1891.04,7.16
"148",2010-03-01,-5.24675,394.16,323.62,1885.67,7.17
"149",2010-04-01,-5.45908333333333,395.23,323.76,1884.31,7.2
"150",2010-05-01,-5.70783333333333,395.62,323.65,1876.81,7.22
"151",2010-06-01,-5.78579166666667,392.59,323.39,1860.71,7.23
"152",2010-07-01,-5.89733333333333,386.09,323.17,1849.45,7.25
"153",2010-08-01,-6.22491666666667,380.95,323.08,1859.52,7.27
"154",2010-09-01,-6.46254166666667,382.46,323.14,1874.48,7.27
"155",2010-10-01,-6.58266666666666,387.05,323.42,1878.57,7.3
"156",2010-11-01,-6.60941666666667,391.49,323.8,1881.71,7.33
"157",2010-12-01,-6.57104166666667,394.61,324.19,1885.53,7.36
"158",2011-01-01,-6.57129166666667,396.12,324.46,1893.52,7.4
"159",2011-02-01,-6.56570833333333,396.91,324.63,1899.29,7.42
"160",2011-03-01,-6.564625,397.6,324.73,1896.58,7.44
"161",2011-04-01,-6.56141666666667,398.07,324.68,1891.92,7.46
"162",2011-05-01,-6.43795833333333,397.9,324.55,1880.92,7.48
"163",2011-06-01,-6.30983333333333,394.99,324.42,1858.86,7.5
"164",2011-07-01,-6.283875,388.51,324.37,1849.75,7.5
"165",2011-08-01,-6.23454166666667,381.66,324.43,1862.85,7.5
"166",2011-09-01,-6.11408333333333,382.09,324.56,1876.32,7.52
"167",2011-10-01,-5.94858333333333,388.15,324.68,1884.41,7.57
"168",2011-11-01,-5.83304166666667,393.72,324.79,1893.88,7.63
"169",2011-12-01,-5.7385,396.88,324.94,1902.7,7.66
"170",2012-01-01,-5.682375,398.18,325.11,1903.99,7.66
"171",2012-02-01,-5.58833333333333,398.56,325.31,1901.65,7.67
"172",2012-03-01,-5.46358333333333,399.29,325.52,1905.14,7.72
"173",2012-04-01,-5.40670833333333,400.02,325.66,1901.98,7.75
"174",2012-05-01,-5.273625,400.05,325.59,1885.48,7.78
"175",2012-06-01,-5.20329166666667,396.94,325.22,1865.89,7.8
"176",2012-07-01,-5.12745833333333,388.66,324.89,1861.34,7.81
"177",2012-08-01,-4.93816666666667,383.22,324.85,1876.67,7.81
"178",2012-09-01,-4.778875,385.23,325,1884.21,7.82
"179",2012-10-01,-4.71829166666667,390.61,325.17,1885.16,7.84
"180",2012-11-01,-4.77291666666667,395.77,325.53,1894.34,7.9
"181",2012-12-01,-4.86133333333333,399.01,325.87,1908.06,7.98
"182",2013-01-01,-4.90370833333333,400.45,325.99,1915.63,8.02
"183",2013-02-01,-4.932625,401.02,326.05,1913.35,8.02
"184",2013-03-01,-4.987875,401.3,326.11,1903.69,8.02
"185",2013-04-01,NA,402.04,326.21,1899.22,8.04
"186",2013-05-01,NA,402.95,326.35,1895.81,8.09
"187",2013-06-01,NA,401.29,326.34,1881.85,8.12
"188",2013-07-01,NA,394.63,326.14,1867.41,8.13
"189",2013-08-01,NA,388.35,325.91,1866.44,8.15
"190",2013-09-01,NA,388.63,325.86,1878.77,8.16
